"","X.1","X","Gender","County","Ethnicity","college","Stu_Department","ResidenceHall","Stu_DivisionCode","Stu_MajorDesc","UniPriorhours","UWFpriorhours","averageGPA1stFall","rankGPA1stFall","Stu_GPAGradePoints","GPA1stFall"
"47",47,47,"Male","Walton","White","Science and Engineering","Mechanical Engineering","Pace Hall","U","Mechanical Engineering",60,0,"Above2.7","above2.3",22.5,2.8125
"48",48,48,"Male","Escambia","Hispanic","Health","Psychology","Martin Hall","L","Psychology B.S.",0,0,"Below2.7","above2.3",30,2.5
"49",49,49,"Male","Escambia","White","Business","Management & MIS","Commuter","L","Management",9,0,"Above2.7","above2.3",37.2,3.1
"50",50,50,"Female","Santa Rosa","White","Arts, Social Sciences and Humanities","Art","Martin Hall","L","Fine Arts--PENDING",12,0,"Above2.7","above2.3",50,3.57142857142857
"51",51,51,"Male","Escambia","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Below2.7","under2.0",9,1.5
"52",52,52,"Male","Okaloosa","White","Science and Engineering","Computer Science","Heritage Hall","L","Computer Science",0,0,"Below2.7","above2.3",29.5,2.68181818181818
"53",53,53,"Female","Duval","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Martin Hall","L","Elementary Education--PENDING",3,0,"Above2.7","above2.3",52.8,3.52
"54",54,54,"Male","Escambia","Hispanic","Science and Engineering","Computer Science","Commuter","L","Computer Science",0,0,"Above2.7","above2.3",53.1,3.54
"55",55,55,"Male","Escambia","White","Arts, Social Sciences and Humanities","English","Commuter","L","English: Liberal Arts",0,0,"Above2.7","above2.3",38.1,3.175
"56",56,56,"Female","Santa Rosa","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Above2.7","above2.3",45.7,3.51538461538462
"57",57,57,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Electrical Engineering",9,0,"Above2.7","above2.3",38.8,3.23333333333333
"58",58,58,"Female","Okaloosa","White","Arts, Social Sciences and Humanities","Government","Martin Hall","L","International Studies",21,0,"Above2.7","above2.3",58,3.625
"59",59,59,"Male","Brevard","White","Business","Management & MIS","Martin Hall","L","General Business",6,0,"Below2.7","under2.3",18,2
"60",60,60,"Female","Lee","White","Arts, Social Sciences and Humanities","Philosophy","Martin Hall","L","Women's, Gender & Sexuality St",0,0,"Above2.7","above2.3",44,3.38461538461538
"61",61,61,"Female","Escambia","White","Arts, Social Sciences and Humanities","Art","Commuter","U","Fine Arts--PENDING",62,0,"Above2.7","above2.3",42,3.5
"62",62,62,"Male","Duval","White","Science and Engineering","Mechanical Engineering","Pace Hall","L","Mechanical Engineering",44,0,"Above2.7","above2.3",44,3.66666666666667
"63",63,63,"Female","Santa Rosa","White","Science and Engineering","Chemistry","Commuter","L","Chemistry",6,6,"Above2.7","above2.3",35.9,2.76153846153846
"64",64,64,"Female","Non-USA","Non-Resident Alien","Health","Psychology","Argo Hall","L","Psychology",30,0,"Above2.7","above2.3",54.4,3.88571428571429
"65",65,65,"Female","Hillsborough","White","Science and Engineering","Computer Science","Martin Hall","L","Cybersecurity",0,0,"Above2.7","above2.3",41.1,3.425
"66",66,66,"Male","Walton","White","Business","Management & MIS","Commuter","U","General Business",62,0,"Above2.7","above2.3",58.2,3.88
"67",67,67,"Female","Santa Rosa","Hispanic","Science and Engineering","Biology","Commuter","L","Marine Biology",6,0,"Below2.7","above2.3",31.9,2.65833333333333
"68",68,68,"Male","Non-Florida","African American","Arts, Social Sciences and Humanities","Communication","Commuter","L","Communication",3,0,"Above2.7","above2.3",44.1,3.675
"69",69,69,"Male","Santa Rosa","Two or More","Science and Engineering","Computer Science","Argo Hall","L","Software Engineering",9,0,"Below2.7","Under1.0",8.1,0.675
"70",70,70,"Male","Santa Rosa","White","Science and Engineering","Physics","Commuter","L","Engineering",14,0,"Below2.7","under2.3",40.6,2.03
"71",71,71,"Male","Escambia","African American","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Commuter","L","Sport Management",9,0,"Below2.7","under1.5",14.1,1.08461538461538
"72",72,72,"Male","Okaloosa","Two or More","Arts, Social Sciences and Humanities","Art","Martin Hall","L","Digital Art--PENDING",10,0,"Below2.7","under2.0",22.9,1.76153846153846
"73",73,73,"Male","Santa Rosa","White","No College Designated","Undeclared","Commuter","L","Undecided",0,0,"Below2.7","under2.3",19.8,2.2
"74",74,74,"Female","Okaloosa","Two or More","No College Designated","Undeclared","Commuter","L","Undeclared",9,0,"Above2.7","above2.3",61,3.8125
"75",75,75,"Female","Santa Rosa","White","Health","Exercise Sci & Community Hlth","Martin Hall","L","Athletic Training Ed--PENDING",22,0,"Below2.7","Under1.0",0,0
"76",76,76,"Male","Santa Rosa","White","Science and Engineering","Biology","Argo Hall","L","Biomedical Sciences",12,0,"Above2.7","above2.3",31,2.81818181818182
"77",77,77,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Mechanical Engineering",9,0,"Below2.7","under2.0",21,1.61538461538462
"78",78,78,"Female","Escambia","White","Health","Nursing","Commuter","L","Pre-BSN",18,6,"Above2.7","above2.3",46.9,3.60769230769231
"79",79,79,"Female","Okaloosa","White","Business","Global Hosp & Tourism Mgmt","Commuter","L","Gbl Hsp & Trsm: Rvn Mgmt & P A",15,0,"Above2.7","above2.3",47.1,3.14
"80",80,80,"Female","Seminole","Hispanic","Health","Exercise Sci & Community Hlth","Argo Hall","L","Athletic Training Ed--PENDING",0,0,"Above2.7","above2.3",44.3,3.40769230769231
"81",81,81,"Female","Non-Florida","White","Science and Engineering","Biology","Pace Hall","L","Preprofessional Biology",12,0,"Above2.7","above2.3",50,3.57142857142857
"82",82,82,"Male","Okaloosa","Two or More","Science and Engineering","Computer Science","Presidents Hall","L","Computer Science",12,0,"Below2.7","Under1.0",7,0.7
"83",83,83,"Male","Palm Beach","White","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Martin Hall","L","Sport Management",0,3,"Below2.7","Under1.0",0,0
"84",84,84,"Male","Okaloosa","Two or More","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Pace Hall","U","Legal Studies",68,0,"Above2.7","above2.3",57.9,3.86
"85",85,85,"Female","Citrus","White","Science and Engineering","Biology","Presidents Hall","L","Marine Biology",6,0,"Above2.7","above2.3",44.2,2.94666666666667
"86",86,86,"Male","Hillsborough","Not Reported","Science and Engineering","Biology","Heritage Hall","L","Marine Biology",6,0,"Below2.7","under1.5",13,1.3
"87",87,87,"Female","Santa Rosa","White","Education and Professional Studies","Criminal Justice","Argo Hall","L","Criminal Justice",6,0,"Below2.7","above2.3",36.9,2.46
"88",88,88,"Female","Bay","White","Arts, Social Sciences and Humanities","History","Pace Hall","L","History",9,0,"Below2.7","under1.5",19.2,1.28
"89",89,89,"Female","Santa Rosa","White","Arts, Social Sciences and Humanities","Art","Commuter","U","Digital Art--PENDING",63,0,"Below2.7","above2.3",32.1,2.675
"90",90,90,"Female","Non-Florida","White","Arts, Social Sciences and Humanities","Communication","Argo Hall","L","Communication",6,0,"Above2.7","above2.3",45.3,3.775
"91",91,91,"Male","Non-Florida","White","Science and Engineering","Computer Science","Pace Hall","L","Cybersecurity",17,0,"Above2.7","above2.3",49,3.76923076923077
"92",92,92,"Female","Polk","African American","Business","Management & MIS","Heritage Hall","L","General Business",0,0,"Above2.7","above2.3",60.1,3.75625
"93",93,93,"Male","Okaloosa","Hispanic","Education and Professional Studies","Teacher Ed & Ed Leadership","Heritage Hall","L","Elementary/ESOL--PENDING",0,0,"Above2.7","above2.3",57.1,3.56875
"94",94,94,"Male","Orange","White","Business","Management & MIS","Argo Hall","L","General Business",0,0,"Above2.7","above2.3",38.1,2.93076923076923
"95",95,95,"Female","Bay","White","No College Designated","Undeclared","Argo Hall","L","Undecided",0,0,"Below2.7","above2.3",39,2.4375
"96",96,96,"Female","Escambia","White","Health","Nursing","Commuter","L","Pre-BSN",29,0,"Above2.7","above2.3",52,4
"97",97,97,"Male","Okaloosa","White","Science and Engineering","Earth & Environmental Sciences","Heritage Hall","L","Environmental Management",21,0,"Above2.7","above2.3",44.4,3.17142857142857
"98",98,98,"Male","Okaloosa","Not Reported","Health","Exercise Sci & Community Hlth","Heritage Hall","L","Exercise Science",0,0,"Above2.7","above2.3",46,3.28571428571429
"99",99,99,"Female","Martin","Hispanic","Science and Engineering","Biology","Martin Hall","L","Preprofessional Biology",18,0,"Below2.7","under2.3",27.9,2.14615384615385
"100",100,100,"Male","Manatee","Two or More","Science and Engineering","Electrical & Computer Engineer","Martin Hall","L","Mechanical Engineering",6,6,"Below2.7","under2.3",26.3,2.02307692307692
"101",101,101,"Male","Clay","White","Business","Mktg, Sply Chain Logis & Econ","Heritage Hall","L","Global Marketing",6,0,"Below2.7","under2.0",23.1,1.77692307692308
"102",102,102,"Female","Duval","White","Science and Engineering","Biology","Presidents Hall","L","Biology",20,0,"Above2.7","above2.3",48.7,3.24666666666667
"103",103,103,"Male","Okaloosa","Hispanic","Science and Engineering","Biology","Pace Hall","L","Biology",58,0,"Above2.7","above2.3",33,2.75
"104",104,104,"Male","Lee","African American","Business","Global Hosp & Tourism Mgmt","Martin Hall","L","Hosp, Recreation & Resort Mgmt",10,0,"Below2.7","under1.5",18.6,1.32857142857143
"105",105,105,"Male","Okaloosa","White","Health","Nursing","Commuter","L","Pre-BSN",15,0,"Below2.7","under2.0",17.9,1.79
"106",106,106,"Female","Seminole","White","No College Designated","Undeclared","Argo Hall","L","Undecided",0,0,"Above2.7","above2.3",42.7,3.05
"107",107,107,"Female","Escambia","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Commuter","L","Elementary Education--PENDING",18,0,"Above2.7","above2.3",39.3,3.02307692307692
"108",108,108,"Female","Santa Rosa","White","Health","Health Sciences & Admin","Commuter","L","Health Sciences Pending",19,0,"Above2.7","above2.3",39,3.25
"109",109,109,"Male","Clay","African American","Health","Psychology","Argo Hall","L","Psychology B.S.",0,0,"Above2.7","above2.3",52.8,3.52
"110",110,110,"Male","Escambia","Two or More","Business","Management & MIS","Commuter","L","General Business",0,0,"Below2.7","under2.3",30.3,2.02
"111",111,111,"Female","Non-Florida","White","Education and Professional Studies","Criminal Justice","Martin Hall","L","Criminal Justice",6,0,"Below2.7","above2.3",30.3,2.525
"112",112,112,"Female","Escambia","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Above2.7","above2.3",42.9,3.575
"113",113,113,"Male","Santa Rosa","White","Arts, Social Sciences and Humanities","Theatre","Martin Hall","L","Theatre",9,0,"Below2.7","under2.0",18,1.5
"114",114,114,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Software Engineering",0,0,"Below2.7","Under1.0",0,0
"115",115,115,"Female","Clay","African American","Health","Psychology","Martin Hall","L","Psychology",0,0,"Below2.7","under2.3",29.2,2.24615384615385
"116",116,116,"Female","Franklin","African American","Health","Movement Sciences and Health","Martin Hall","U","Exercise Science",60,0,"Above2.7","above2.3",52.3,3.73571428571429
"117",117,117,"Male","Non-Florida","White","Science and Engineering","Biology","Pace Hall","L","Biology",3,0,"Below2.7","Under1.0",11.1,0.925
"118",118,118,"Female","Palm Beach","White","No College Designated","Undeclared","Argo Hall","L","Undecided",0,0,"Above2.7","above2.3",48.1,3.7
"119",119,119,"Male","Okaloosa","White","Arts, Social Sciences and Humanities","English","Commuter","L","English: Creative Writing",12,0,"Above2.7","above2.3",51,3.4
"120",120,120,"Male","Okaloosa","White","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Presidents Hall","U","Legal Studies",86,0,"Above2.7","above2.3",50.1,3.34
"121",121,121,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",10,0,"Above2.7","above2.3",52,3.71428571428571
"122",122,122,"Female","Leon","White","Science and Engineering","Biology","Presidents Hall","L","Biomedical Sciences",12,0,"Above2.7","above2.3",60,4
"123",123,123,"Male","Santa Rosa","Hispanic","Education and Professional Studies","Administration and Law","Martin Hall","L","Building Construction",0,0,"Above2.7","above2.3",43.2,3.08571428571429
"124",124,124,"Male","Orange","African American","Science and Engineering","Computer Science","Presidents Hall","L","Software Design & Development",10,0,"Above2.7","above2.3",37.9,2.91538461538462
"125",125,125,"Female","Santa Rosa","Two or More","Health","Medical Lab Sciences","Commuter","L","Clinical Lab Sciences--PENDING",36,0,"Above2.7","above2.3",53.2,3.8
"126",126,126,"Female","Bay","White","No College Designated","Undeclared","Martin Hall","L","Undecided",27,0,"Above2.7","above2.3",48.9,3.76153846153846
"127",127,127,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Marine Biology",0,0,"Below2.7","under2.3",12,2
"128",128,128,"Female","Non-Florida","White","Science and Engineering","Biology","Heritage Hall","L","Marine Biology",0,0,"Above2.7","above2.3",60,4
"129",129,129,"Female","Calhoun","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",32,0,"Above2.7","above2.3",47,3.35714285714286
"130",130,130,"Male","Santa Rosa","White","Business","Management & MIS","Argo Hall","L","General Business",0,0,"Below2.7","under2.0",24.3,1.86923076923077
"131",131,131,"Female","Santa Rosa","White","Health","Psychology","Commuter","L","Psychology",12,0,"Above2.7","above2.3",42.9,3.3
"132",132,132,"Female","Wakulla","Two or More","Health","Exercise Sci & Community Hlth","Pace Hall","U","Exercise Science",68,0,"Above2.7","above2.3",52,4
"133",133,133,"Female","Santa Rosa","White","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Commuter","L","Legal Studies",9,0,"Above2.7","above2.3",46.2,3.85
"134",134,134,"Female","Bay","White","Science and Engineering","Biology","Presidents Hall","L","Biomedical Sciences",27,0,"Above2.7","above2.3",55.1,3.67333333333333
"135",135,135,"Female","Santa Rosa","White","Health","Psychology","Pace Hall","L","Psychology",24,0,"Above2.7","above2.3",48,4
"136",136,136,"Female","Escambia","White","Health","Exercise Sci & Community Hlth","Commuter","L","Exercise Science",0,0,"Above2.7","above2.3",41.4,3.18461538461538
"137",137,137,"Female","Escambia","White","Arts, Social Sciences and Humanities","Anthropology","Presidents Hall","L","Biological Anthropology",0,0,"Above2.7","above2.3",44.8,3.44615384615385
"138",138,138,"Female","Santa Rosa","White","Business","Global Hosp & Tourism Mgmt","Argo Hall","L","Guest Exp Mgmt",15,0,"Above2.7","above2.3",38,2.92307692307692
"139",139,139,"Female","Okaloosa","White","Health","Exercise Sci & Community Hlth","Martin Hall","L","Exercise Science",6,0,"Below2.7","above2.3",33.8,2.6
"140",140,140,"Female","Santa Rosa","White","Health","Nursing","Commuter","L","Pre-BSN",24,0,"Above2.7","above2.3",48.9,3.76153846153846
"141",141,141,"Male","Walton","White","No College Designated","Undeclared","Argo Hall","L","Undecided",0,0,"Below2.7","under2.0",22.8,1.9
"142",142,142,"Male","Dade","Hispanic","Health","Exercise Sci & Community Hlth","Argo Hall","L","Athletic Training Ed--PENDING",0,0,"Below2.7","under2.0",22.3,1.59285714285714
"143",143,143,"Female","Santa Rosa","White","Health","Nursing","Commuter","L","Pre-BSN",30,0,"Above2.7","above2.3",52,4
"144",144,144,"Female","Non-Florida","White","Science and Engineering","Biology","Heritage Hall","L","Marine Biology",20,0,"Above2.7","above2.3",51.1,3.65
"145",145,145,"Female","Okaloosa","White","No College Designated","Undeclared","Commuter","L","Undecided",0,0,"Below2.7","under2.3",29.8,2.29230769230769
"146",146,146,"Male","Okaloosa","African American","Science and Engineering","Mathematics & Statistics","Southside building 15","L","Mathematics",0,0,"Above2.7","above2.3",40.9,3.14615384615385
"147",147,147,"Male","Escambia","White","Health","Nursing","Martin Hall","L","Pre-BSN",22,0,"Above2.7","above2.3",63.1,3.94375
"148",148,148,"Male","Lake","Hispanic","Business","Management & MIS","Heritage Hall","L","General Business",30,0,"Above2.7","above2.3",55.2,3.68
"149",149,149,"Female","Franklin","White","Business","Accounting & Finance","Argo Hall","L","Professional Accountancy",18,0,"Above2.7","above2.3",45.3,3.775
"150",150,150,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Biology",7,0,"Below2.7","under1.5",16.3,1.25384615384615
"151",151,151,"Male","Santa Rosa","White","Arts, Social Sciences and Humanities","Arts, SS, and Hum, Dean","Martin Hall","L","General Studies",6,0,"Below2.7","Under1.0",12,0.923076923076923
"152",152,152,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Software Engineering",15,0,"Below2.7","under2.0",26.1,1.74
"153",153,153,"Male","Santa Rosa","Hispanic","Arts, Social Sciences and Humanities","History","Presidents Hall","L","History",52,0,"Above2.7","above2.3",38.2,2.93846153846154
"154",154,154,"Male","Santa Rosa","Two or More","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",0,0,"Below2.7","above2.3",13.8,2.3
"155",155,155,"Female","Polk","White","Education and Professional Studies","Criminal Justice","Martin Hall","L","Criminal Justice",6,0,"Above2.7","above2.3",38.1,3.175
"156",156,156,"Male","Bay","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",25,0,"Above2.7","above2.3",41.1,3.16153846153846
"157",157,157,"Female","Lee","White","Science and Engineering","Biology","Argo Hall","L","Marine Biology",13,0,"Above2.7","above2.3",46.1,3.29285714285714
"158",158,158,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",0,0,"Above2.7","above2.3",30.9,3.09
"159",159,159,"Male","Bay","White","Business","Management & MIS","Heritage Hall","L","General Business",16,0,"Above2.7","above2.3",47.1,3.925
"160",160,160,"Male","Dade","Hispanic","Health","Nursing","Presidents Hall","L","Pre-BSN",0,0,"Below2.7","under1.5",16.9,1.3
"161",161,161,"Male","Okaloosa","White","Business","Management & MIS","Commuter","L","General Business",3,0,"Below2.7","under2.3",27,2.25
"162",162,162,"Female","Okaloosa","White","Arts, Social Sciences and Humanities","Government","Commuter","U","International Studies",78,0,"Above2.7","above2.3",61.9,3.86875
"163",163,163,"Female","Santa Rosa","White","Science and Engineering","Information Technology","Commuter","L","Information Technology",15,0,"Above2.7","above2.3",47.8,3.67692307692308
"164",164,164,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Above2.7","above2.3",40.4,2.88571428571429
"165",165,165,"Female","Walton","White","Education and Professional Studies","Social Work","Argo Hall","U","Social Work",64,0,"Above2.7","above2.3",42.9,3.575
"166",166,166,"Male","Santa Rosa","Hispanic","Business","Accounting & Finance","Commuter","L","Finance",22,0,"Above2.7","above2.3",57,3.8
"167",167,167,"Female","Duval","White","Arts, Social Sciences and Humanities","Government","Martin Hall","L","Political Science Pre-Law",3,6,"Below2.7","under2.0",18,1.5
"168",168,168,"Male","Okaloosa","White","Science and Engineering","Electrical & Computer Engineer","Pace Hall","L","Electrical Engineering",22,0,"Above2.7","above2.3",55,3.92857142857143
"169",169,169,"Male","Escambia","Asian","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Mechanical Engineering",34,0,"Above2.7","above2.3",47.3,3.94166666666667
"170",170,170,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",15,0,"Above2.7","above2.3",45.9,3.825
"171",171,171,"Female","Santa Rosa","White","Arts, Social Sciences and Humanities","Government","Commuter","U","International Studies",61,0,"Above2.7","above2.3",60,4
"172",172,172,"Male","Leon","White","Business","Management & MIS","Martin Hall","L","General Business",3,0,"Below2.7","above2.3",23.1,2.56666666666667
"173",173,173,"Female","Santa Rosa","White","No College Designated","Undeclared","Pace Hall","L","Undecided",43,0,"Above2.7","above2.3",52,4
"174",174,174,"Female","Santa Rosa","White","Health","Movement Sciences and Health","Commuter","U","Exercise Science",61,3,"Above2.7","above2.3",49,3.76923076923077
"175",175,175,"Male","Santa Rosa","Hispanic","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Below2.7","above2.3",36.7,2.44666666666667
"176",176,176,"Female","Highlands","White","Science and Engineering","Physics","Argo Hall","L","Physics",30,0,"Above2.7","above2.3",55.3,3.95
"177",177,177,"Male","Escambia","Asian","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",0,0,"Below2.7","Under1.0",0,0
"178",178,178,"Female","Okaloosa","White","Arts, Social Sciences and Humanities","Art and Design","Argo Hall","L","Graphic Design",42,0,"Above2.7","above2.3",60,4
"179",179,179,"Male","Wakulla","White","Science and Engineering","Mechanical Engineering","Presidents Hall","L","Mechanical Engineering",19,0,"Above2.7","above2.3",48.1,3.7
"180",180,180,"Male","Santa Rosa","White","Arts, Social Sciences and Humanities","Government","Commuter","L","Political Science Pre-Law",45,0,"Above2.7","above2.3",33,2.75
