"","STU_ID","UWFGPA1stYear","Prior_Hours","StartMajor","ReStartMajor","Gender","Ethnicity","ReEthnicity","County","ReCounty","FirstMathCrs","ReFirstMathCrs","FirstMathCrsGrade","UWFHour1stTerm","UWFGPA1stTerm","Drop1stYear","GPA_HIGHSCHOOL","ENC1101","ENC1101grade","CHM2045","CHM2045grade","BSC2010","BSC2010grade","BSC2844","BSC2844grade","PSY2012","PSY2012grade","X","Cohort","Term","FirstTermCRSs","FristTermGrades","DEPTCode"
"11","02EDB113AEC7A7E0EFA2BFBD1BEF274E78068977",2.59,6,"Marine Biology","Marine Biology","F","Hispanic","Hispanic","SANT","SANT","MAC1105C","MAC1105C","B-",12,2.658333333,"Retained",4.02,"Others","Others","Others","Others","BSC2010","C+","BSC2844","A","Others","Others",11,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","ANT2000_BSC2010_BSC2010L_BSC2844","C+_C+_B+_A","ANT_BY_BY_BY"
"12","031CC68C3A5572A6205490B9037B286E3BC9BACD",2.03,14,"Engineering","Engineering","M","White","White","SANT","SANT","MAC1147","MAC1147","C+",17,2.03,"Dropped",3.13,"ENC1101","A-","CHM2045","B-","Others","Others","Others","Others","PSY2012","B+",12,"2018_2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","CHM2045_CHM2045L_ENC1101_LIT2000_MUL2010_PSY2012","B-_C+_A-_F_F_B+","CHM_CHM_EF_EF_MUS_PSY"
"13","03876BF335A33EC33A0BC7941670F3B1BCC89D2B",2.781081081,6,"Marine Biology","Marine Biology","F","White","White","CITR","Others","MAC1147","MAC1147","B+",15,2.946666667,"Retained",3.8,"Others","Others","CHM2045","B","BSC2010","C","Others","Others","Others","Others",13,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","ANT2100_BSC2010_BSC2010L_CHM2045_CHM2045L","B_C_A_B_B","ANT_BY_BY_CHM_CHM"
"14","0525A645CD526DEF86164139D999DBBCCDC8DF28",3.685714286,10,"Biomedical Sciences","Biomedical Sciences","M","White","White","ESCA","ESCA","NoAttempt","NoAttempt","NoAttempt",14,3.714285714,"Retained",4,"Others","Others","CHM2045","A","BSC2010","B","Others","Others","PSY2012","A",14,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_CHM2045_CHM2045L_PSY2012","B_B_A_A_A","BY_BY_CHM_CHM_PSY"
"15","0526B21E8B7155523AB134D08775A284A3C2B92B",4,12,"Biomedical Sciences","Biomedical Sciences","F","White","White","LEON","Others","MAC1147","MAC1147","A",15,4,"Retained",4.24,"Others","Others","CHM2045","A","BSC2010","A","Others","Others","Others","Others",15,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_CHM2045_CHM2045L_LIT2000","A_A_A_A_A","BY_BY_CHM_CHM_EF"
"16","053586B02976E7C8A5C847EE25495F8515E535D5",0,10,"Software Design & Development","Software Design & Development","M","African American","African American","ORAN","ORAN","MAC1105C","MAC1105C","A-",13,2.915384615,"Dropped",3.78,"Others","Others","Others","Others","Others","Others","Others","Others","PSY2012","A-",16,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","COP2334_LIT2000_PSY2012_PSY2012","F_A_A-_A-","SS_EF_PSY_PSY"
"17","058C3814219CBC3068957450B5A842162041402D",2.277272727,0,"Marine Biology","Marine Biology","M","White","White","ESCA","ESCA","MAC1105C","MAC1105C","W",6,2,"Retained",3.3,"ENC1101","B-","Others","Others","BSC2010","W","Others","Others","PSY2012","D+",17,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_ENC1101_PSY2012","W_W_B-_D+","BY_BY_EF_PSY"
"18","059525A8D932DCCD3505C934F84929752A6700EE",4,0,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","MAC1105C","MAC1105C","A",15,4,"Retained",4.13,"ENC1101","A","Others","Others","BSC2010","A","BSC2844","A","Others","Others",18,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_ENC1101_SYG2010","A_A_A_A_A","BY_BY_BY_EF_ANT"
"19","06501E09C0F8D84E321C98738DBB19FB4C7BF669",3.511538462,20,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","NoAttempt","NoAttempt","NoAttempt",14,3.65,"Retained",3.57,"Others","Others","CHM2045","A-","BSC2010","B","Others","Others","Others","Others",19,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","ANT2100_BSC2010_BSC2010L_CHM2045_CHM2045L","A_B_B_A-_A","ANT_BY_BY_CHM_CHM"
"20","06EEA0D36EB8A396E70E9BDFE1883ECA4B759779",3.292857143,13,"Marine Biology","Marine Biology","F","White","White","LEE","Others","MAC1105","MAC1105","B-",14,3.292857143,"Dropped",5,"Others","Others","Others","Others","BSC2010","C","BSC2844","A","Others","Others",20,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_LIT2000_MUH2930","C_A_A_A_A","BY_BY_BY_EF_MUS"
"21","07AFAE8AA57D74D0EE07509DBFD7FB096CC8C390",2.056666667,0,"Biomedical Sciences","Biomedical Sciences","M","Hispanic","Hispanic","SANT","SANT","MAC1105C","MAC1105C","B-",15,2.446666667,"Retained",3,"ENC1101","C+","Others","Others","BSC2010","C","BSC2844","C","PSY2012","B",21,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_ENC1101_PSY2012","C_C_C_C+_B","BY_BY_BY_EF_PSY"
"22","07C3CD610049C08BCFD25BC6EEFB13B9C40BA0FD",3.212,19,"Mechanical Engineering","Mechanical Engineering","M","White","White","WAKU","Others","MAC2311","MAC2311","A",13,3.7,"Retained",3.9,"Others","Others","Others","Others","Others","Others","Others","Others","Others","Others",22,"2017_2017_2017","Fall 2017_Fall 2017_Fall 2017","AMH2020_ARH2050_FIN2104","A-_B+_A-","HIS_ART_AF"
"23","085C27B1DFD8DAF44075ACB381945B6AF857DDCE",0,28,"Marine Biology","Marine Biology","F","American Indian/Alaskan Native","Others","ESCA","ESCA","MAC1147","MAC1147","W",6,1.5,"Dropped",3.76,"Others","Others","Others","Others","BSC2010","W","Others","Others","Others","Others",23,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","ANT2000_BSC2010_BSC2010L_LIT2000","D_W_W_C","ANT_BY_BY_EF"
"24","0891428F42DBD8CF891B4D3B6342C6EF04221217",2.719047619,15,"Mechanical Engineering","Mechanical Engineering","M","White","White","ORAN","ORAN","MAC1147","MAC1147","C",14,2.871428571,"Retained",3.63,"Others","Others","CHM2045","A-","Others","Others","Others","Others","Others","Others",24,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","CHM2045_CHM2045L_FIN2104_LIT2000","A-_A_B-_B","CHM_CHM_AF_EF"
"25","08B51DB404B981073255CC5E1D66B2A34C83D577",2.908823529,3,"Biomedical Sciences","Biomedical Sciences","F","White","White","ESCA","ESCA","MAC1105","MAC1105","C-",12,2,"Retained",4.22,"Others","Others","Others","Others","BSC2010","D","Others","Others","Others","Others",25,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_ENC1102_FIN2104","D_W_B+_C","BY_BY_EF_AF"
"26","08FD40199FB998EDF24256A1C72899D641A4AD12",3.682142857,3,"Biomedical Sciences","Biomedical Sciences","F","White","White","NFLA","NFLA","MAC1147","MAC1147","B+",13,3.784615385,"Retained",4.07,"ENC1101","A","Others","Others","BSC2010","A","BSC2844","A","Others","Others",26,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_ENC1101_SLS1109","A_A_A_A_A","BY_BY_BY_EF_SLS"
"27","09094B9A1A26B65DB1C9D8172048286F55CAB876",2.911538462,0,"Mechanical Engineering","Mechanical Engineering","M","White","White","OKAL","OKAL","MAC1147","MAC1147","B",13,2.823076923,"Retained",3.73,"Others","Others","CHM2045","C","Others","Others","Others","Others","Others","Others",27,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","CHM2045_CHM2045L_EGS1006_ENC1102_SLS1109","C_A_B_B_B-","CHM_CHM_MEC_EF_SLS"
"28","091B3C93A1601C8345486BAF6636CE5D89CB3C8F",2.992,0,"Mechanical Engineering","Mechanical Engineering","M","Hispanic","Hispanic","ESCA","ESCA","MAC1105C","MAC1105C","B-",13,3.069230769,"Retained",3.7,"ENC1101","B","Others","Others","Others","Others","Others","Others","PSY2012","B-",28,"2017_2017_2017","Fall 2017_Fall 2017_Fall 2017","CHM1020_ENC1101_PSY2012","A_B_B-","CHM_EF_PSY"
"29","092F698AD05C9A19D514C3C261C3380656E233C5",2.533333333,0,"Biomedical Sciences","Biomedical Sciences","M","White","White","SANT","SANT","MAC1147","MAC1147","C+",12,2.533333333,"Dropped",4.41,"Others","Others","Others","Others","BSC2010","D+","BSC2844","B","Others","Others",29,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_GEB1011","D+_C+_B_A","BY_BY_BY_MM"
"30","094BDEF6D7415F72B7D55943327AB58AB4737096",3.38,6,"Biomedical Sciences","Biomedical Sciences","M","Hispanic","Hispanic","SANT","SANT","MAC1147","MAC1147","A",15,3.546666667,"Retained",4.1,"Others","Others","Others","Others","BSC2010","B","BSC2844","A","PSY2012","A-",30,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_LIT2000_PSY2012","B_C_A_A-_A-","BY_BY_BY_EF_PSY"
"31","096862A7CC0D12577377E93279AAF018C4E9A518",0,0,"Marine Biology","Marine Biology","M","African American","African American","WAKU","Others","MAC1105C","MAC1105C","F",10,0,"Dropped",2,"ENC1101","F","Others","Others","BSC2010","W","Others","Others","Others","Others",31,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","ARH1000_BSC2010_BSC2010L_ENC1101","F_W_W_F","ART_BY_BY_EF"
"32","09D2690505236CE0C6D3AA144D0C78F8A6A81695",3.123076923,0,"Cybersecurity","Cybersecurity","M","White","White","ESCA","ESCA","MAC1147","MAC1147","C",13,2.923076923,"Retained",3,"ENC1101","A","Others","Others","Others","Others","Others","Others","Others","Others",32,"2017_2017_2017","Fall 2017_Fall 2017_Fall 2017","AMH2010_COP2253_ENC1101","B+_B-_A","HIS_SS_EF"
"33","0A23705E91688AC3D29F23BBAAAF46E66ECC74B1",3.84137931,15,"Computer Science","Computer Science","M","Asian","Asian","ESCA","ESCA","MAC1147","MAC1147","B+",13,3.715384615,"Retained",4.56,"Others","Others","Others","Others","Others","Others","Others","Others","PSY2012","A",33,"2018_2018_2018","Fall 2018_Fall 2018_Fall 2018","CIS2530_LIT2000_PSY2012","A-_A_A","SS_EF_PSY"
"34","0A3DBA431A953A69172CD426E412879CD73C90FC",2.813793103,43,"Biomedical Sciences","Biomedical Sciences","F","White","White","BAY","BAY","NoAttempt","NoAttempt","NoAttempt",11,2.990909091,"Retained",4.07,"Others","Others","CHM2045","B+","BSC2010","C","Others","Others","Others","Others",34,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_CHM2045_CHM2045L_IDH1040","C_A_B+_A_W","BY_BY_CHM_CHM_HON"
"35","0B1601C5D290E2FEA08AB9C6DB7DDCD324B556D4",2.328571429,12,"Mechanical Engineering","Mechanical Engineering","M","White","White","ESCA","ESCA","MAC1147","MAC1147","B+",15,2.26,"Retained",2.64,"ENC1101","A-","CHM2045","F","Others","Others","Others","Others","Others","Others",35,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","CHM2045_CHM2045L_EGS1006_ENC1101_FIN2104","F_C-_D_A-_C+","CHM_CHM_MEC_EF_AF"
"36","0B4257EBEBFC2841EA41140BC7A510B1142A57AA",2.924,6,"Biology","Biology","F","Two or More","Two or More","ESCA","ESCA","NoAttempt","NoAttempt","NoAttempt",14,2.935714286,"Retained",3.31,"Others","Others","Others","Others","BSC2010","C","BSC2844","A","Others","Others",36,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","ANT2000_BSC2010_BSC2010L_BSC2844_SPC2608","B_C_C_A_A-","ANT_BY_BY_BY_COM"
"37","0B5DFAC329140AC1191541DA3B420DB9DBE0CF7D",3.442857143,0,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","MAC1105","MAC1105","A-",13,3.553846154,"Retained",4.18,"ENC1101","A","Others","Others","BSC2010","B","Others","Others","Others","Others",37,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","ANT2100_BSC2010_BSC2010L_ENC1101","A-_B_B_A","ANT_BY_BY_EF"
"38","0B5E665B87ECBD153C9503FE393B4194A10F5E70",4,39,"Biomedical Sciences","Biomedical Sciences","F","White","White","SEMI","Others","MAC1147","MAC1147","A",15,4,"Retained",4.24,"Others","Others","CHM2045","A","Others","Others","Others","Others","Others","Others",38,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2011_BSC2011L_CHM2045_CHM2045L_LIT2000","A_A_A_A_A","BY_BY_CHM_CHM_EF"
"39","0B694686DACFD82B32AA64EFA0894E6D4FD7D2C2",1.864285714,6,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","MAC1105C","MAC1105C","C",13,1.7,"Dropped",3.54,"Others","Others","Others","Others","BSC2010","F","Others","Others","Others","Others",39,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_LIT2000_PLA2013","F_W_B-_C","BY_BY_EF_LPS"
"40","0B82BE693E5F389849A9FE3D33B8A74CA3DB212B",3.621875,0,"Biology","Biology","F","White","White","SANT","SANT","NoAttempt","NoAttempt","NoAttempt",13,3.530769231,"Retained",3.93,"Others","Others","Others","Others","Others","Others","Others","Others","PSY2012","B+",40,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC1085_BSC1085L_PSY2012_SPC2608","A_B_B+_A","BY_BY_PSY_COM"
"41","0BD8856F454B4C48D42CDD3EB49FACC9C1DF35B5",2.796875,27,"Electrical Engineering","Electrical Engineering","M","White","White","OKAL","OKAL","MAC1147","MAC1147","C",12,2.8,"Retained",4.09,"Others","Others","CHM2045","C+","Others","Others","Others","Others","Others","Others",41,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","CHM2045_CHM2045L_EGS1006_EGS4032","C+_B-_A_A","CHM_CHM_MEC_ECP"
"42","0BE97B9960514939FC20B07E6E21ECD374ED8B1F",1.636363636,14,"Computer Engineering","Computer Engineering","M","White","White","WALT","WALT","MAC1147","MAC1147","F",15,1.2,"Dropped",3.44,"ENC1101","C","CHM2045","C","Others","Others","Others","Others","Others","Others",42,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","CHM2045_CHM2045L_EGS1006_ENC1101_MUH2930","C_C_D_C_D","CHM_CHM_MEC_EF_MUS"
"43","0C1CE0407FB435DC96E2A702E1A401763A030BD1",3.2,15,"Biochemistry","Biochemistry","M","White","White","ESCA","ESCA","MAC2312","MAC2312","F",15,2.466666667,"Retained",4.12,"Others","Others","CHM2045","A","BSC2010","B","Others","Others","Others","Others",43,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","AMH2020_BSC2010_BSC2010L_CHM2045_CHM2045L","B_B_B_A_A","HIS_BY_BY_CHM_CHM"
"44","0C43B68958EE39890E92D1B1343EB7B07D5BAF14",2.8025,15,"Marine Biology","Marine Biology","F","White","White","OKAL","OKAL","MAC1147","MAC1147","A-",16,3.29375,"Retained",3.51,"Others","Others","CHM2045","B","BSC2010","C+","BSC2844","A","Others","Others",44,"2017_2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_BSC2844_CHM2045_CHM2045L_ENC1102","C+_C_A_B_A_A","BY_BY_BY_CHM_CHM_EF"
"45","0CC8A265A75C18BA01E5E1FA894F512FB193FBF9",1.214285714,19,"Mechanical Engineering","Mechanical Engineering","M","White","White","SANT","SANT","MAC1147","MAC1147","D",14,1.214285714,"Dropped",3.47,"Others","Others","CHM2045","D","Others","Others","Others","Others","Others","Others",45,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","CHM2045_CHM2045L_MUL2010_PLA2013","D_D_F_B","CHM_CHM_MUS_LPS"
"46","0D2E6B40AD4081363494F9D2EE6FD8B93987D54D",3.855172414,0,"Computer Science","Computer Science","M","Hispanic","Hispanic","SANT","SANT","MAC1105C","MAC1105C","A",13,3.930769231,"Retained",3.92,"ENC1101","A","Others","Others","Others","Others","Others","Others","PSY2012","A-",46,"2018_2018_2018","Fall 2018_Fall 2018_Fall 2018","CHM1020_ENC1101_PSY2012","A_A_A-","CHM_EF_PSY"
"47","0D5DF69182DD2DB895745E2DA403BCDD21A4F4AD",3.896296296,0,"Biomedical Sciences","Biomedical Sciences","M","White","White","NFLA","NFLA","MAC1147","MAC1147","A",14,3.8,"Retained",3.59,"ENC1101","A","Others","Others","BSC2010","B+","Others","Others","PSY2012","A",47,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_ENC1101_PSY2012","B+_B+_A_A","BY_BY_EF_PSY"
"48","0E8945B19145F54971863804290F5273FF0935BA",3.213333333,18,"Biology","Biology","F","White","White","OKAL","OKAL","MAC1147","MAC1147","B+",15,3.146666667,"Retained",3.92,"Others","Others","Others","Others","BSC2010","B","BSC2844","A","Others","Others",48,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_BSC2844_IDH1040_LIT2000","B_B_A_B_B","BY_BY_BY_HON_EF"
"49","0EF2FD5C4777623C33B1E0D1463FA787C29BC781",2.0375,3,"Biomedical Sciences","Biomedical Sciences","M","Hispanic","Hispanic","HARD","Others","MAC1105C","MAC1105C","F",7,1.157142857,"Retained",2.89,"Others","Others","Others","Others","BSC2010","W","BSC2844","W","Others","Others",49,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_ENC1102","W_W_W_B-","BY_BY_BY_EF"
"50","0F1B414CF977CEC69B89FF89E7594B4455898923",3.751515152,26,"Mechanical Engineering","Mechanical Engineering","M","White","White","SANT","SANT","MAC1147","MAC1147","A",14,3.564285714,"Retained",4.65,"Others","Others","CHM2045","B+","Others","Others","Others","Others","Others","Others",50,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","AMH2020_CHM2045_CHM2045L_LIT2000","A-_B+_B_B+","HIS_CHM_CHM_EF"
"51","0F982930191ED2405260C4BA8B05709215FD72FE",2.825,0,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","MAC1147","MAC1147","B",15,2.746666667,"Dropped",3.92,"Others","Others","CHM2045","B","BSC2010","C","Others","Others","Others","Others",51,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_CHM2045_CHM2045L_IDH1040","C_B+_B_A_C+","BY_BY_CHM_CHM_HON"
"52","0FA69E33BED358CB002AE1CC66310BDA6959F09B",2.285714286,0,"Biomedical Sciences","Biomedical Sciences","M","African American","African American","SEMI","Others","NoAttempt","NoAttempt","NoAttempt",0,0,"Dropped",2.3,"Others","Others","Others","Others","Others","Others","Others","Others","Others","Others",NA,NA,NA,NA,NA,NA
"53","0FC0C871E52FC0B737D04F250B0A73534C362D1F",3.35,23,"Biology","Biology","F","White","White","SANT","SANT","MAC1147","MAC1147","B",13,2.992307692,"Retained",3.97,"Others","Others","Others","Others","Others","Others","BSC2844","A","Others","Others",52,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2011_BSC2011L_BSC2844_CHM2046_CHM2046L","D+_B_A_A_A","BY_BY_BY_CHM_CHM"
"54","108E70285EF5F7F2AE3B583B34C47B6B9C8B2794",2.589189189,9,"Marine Biology","Marine Biology","F","White","White","ESCA","ESCA","MAC1147","MAC1147","D",12,1.825,"Retained",3.88,"Others","Others","Others","Others","BSC2010","D","BSC2844","A","Others","Others",53,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_BSC2844_LIT2000","D_D_A_B+","BY_BY_BY_EF"
"55","111AB314108ACEFF2D07401002159B5569B27A5E",3.075,6,"Cybersecurity","Cybersecurity","M","White","White","SANT","SANT","MAC2311","MAC2311","F",16,2.11875,"Retained",4.03,"Others","Others","Others","Others","Others","Others","Others","Others","PSY2012","B+",54,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","CIS2530_COP2253_MUH2930_PSY2012","C_C_A_B+","SS_SS_MUS_PSY"
"56","111D28829BE5F0630859445BC0BF02028FD59654",3.973529412,12,"Biomedical Sciences","Biomedical Sciences","F","White","White","ESCA","ESCA","MAC1147","MAC1147","A",13,4,"Retained",4.47,"Others","Others","CHM2045","A","BSC2010","A","BSC2844","A","Others","Others",55,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_BSC2844_CHM2045_CHM2045L","A_A_A_A_A","BY_BY_BY_CHM_CHM"
