"","UNIV_ROW_ID","CRSNAME1","CRSNAME2","CRSNAME3","CRSNAME4","CRSNAME5","CRSNAME6","CRSNAME7","CRSNAME8","CRSNAME9","Credit1","Credit2","Credit3","Credit4","Credit5","Credit6","Credit7","Credit8","Credit9","CRSgrade1","CRSgrade2","CRSgrade3","CRSgrade4","CRSgrade5","CRSgrade6","CRSgrade7","CRSgrade8","CRSgrade9","COHORT_YEAR","TERM_START","TERM_TO_USE","STU_RECENT_ADM_DT","HOURS_BROUGHT_TO_UNIVERSITY","ENTRY_PROGRAM_CODE","ENTRY_PROGRAM","ENTRY_COLLEGE","ENTRY_DEPARTMENT_CODE","ENTRY_DEPARTMENT","AREA_OF_STRATEGIC_EMPHASIS","PSE","GENDER","ETHNICITY","AGE_AT_ENTRY","COUNTY","COUNTY_GROUP","STATE","STATE_GROUP","NATION","NATION_GROUP","HONORS_STUDENT","FIRST_GENERATION_STUDENT","Stu_MilitaryVetBenefitDesc","MILITARY_VET_BENEFITS","Stu_MilitaryStatusDesc","MILITARY_STATUS","DISABILITY","ATHLETE","GPA_HIGHSCHOOL","APPLICANT_TIER","HIGH_SCHOOL_NAME","FIRST_FALL_PELL","FIRST_FALL_PELL_AMOUNT","FIRST_FALL_BRIGHT_FUTURES","FIRST_FALL_BRIGHT_FUTURES_AMOUNT","FIRST_FALL_ANY_LOANS","FIRST_FALL_ANY_LOANS_AMOUNT","FIRST_FALL_NEED_BASED_LOANS","FIRST_FALL_NEED_BASED_LOANS_AMOUNT","FIRST_FALL_NON_NEED_BASED_LOANS","FIRST_FALL_NON_NEED_BASED_LOANS_AMOUNT","SUBMITTED_ACT","ACT_SCORE","ACT_PROPORTION","SUBMITTED_SAT","SAT_SCORE","SAT_PROPORTION","BEST_TEST","AP_CREDITS","ATTENDED_SECOND_FALL_TERM","GPA_ENTERING_SECOND_FALL","APR","FIRST_FALL_GPA","NOTES"
"11",970334211,"APK2100C","ATR2010","ENC1101","MAC1105","POS2041","","","","","4","3","3","3","3","","","","","B+","B","A","D+","C+","","","","",20182019,201805,201808,201808,0,"U-ATH-BS-00","Athletic Training","UKCOH","Movement Sciences and Health","Movement Sciences and Health","Health","YES","Male","White",24,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Veteran (Service on or after 9-11-2001)","Military Status","No","No",3.8,3,"Pace High School","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",23.5,0.609375,"No",0,0,"ACT",0,"Yes",2.874193,"Yes",2.8125,""
"12",970334467,"CGS2570","FIN2104","IDH1040","MAC2233","","","","","","3","3","3","3","","","","","","W","C","C-","C-","","","","","",20152016,201505,201508,201508,9,"U-CPS-BS-01","Computer Information Systems","HMCSE","Computer Science","Computer Science","STEM","YES","Male","White",17,"Escambia","Tri-County","Florida","Florida","United States","USA","Yes","No","Not Applicable","Not Applicable","No Military Status","No Military Status","Yes","No",3.98,2,"Grace Christian Academy","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",26,0.6875,"No",0,0,"ACT",0,"Yes",1.914285,"No",1.8,""
"13",970336146,"ART1015C","ENC1101","MAC1140","PSY2012","","","","","","3","3","3","3","","","","","","A","A-","B","B+","","","","","",20162017,201605,201608,201608,0,"U-CPE-BSCE00","Computer Engineering","HMCSE","Electrical & Computer Engineer","Electrical and Computer Engineering","STEM","YES","Male","Hispanic",23,"Charlotte","Other Florida Counties","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.42,4,"Port Charlotte High School","Yes",5816,"No",0,"No",0,"No",0,"No",0,"No",0,0,"Yes",1070,0.558333,"SAT",0,"Yes",3.234482,"Yes",3.5,""
"14",970336278,"ANT2000","ANT2100","ENC1101","MGF1106","","","","","","3","3","3","3","","","","","","A","A","A","C+","","","","","",20162017,201605,201608,201608,0,"U-ANT-BA-02","Archaeology","CASSH","Anthropology","Anthropology","Not Available","NO","Female","White",29,"Non-Florida","Non-Florida/Alabama","Maine","Other State","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",2.41,5,"Non-Florida High School","No",0,"No",0,"Yes",20000,"No",0,"Yes",20000,"No",0,0,"Yes",1030,0.525,"SAT",0,"Yes",3.0375,"Yes",3.575,""
"15",970339490,"ANT2000","BSC2010","BSC2010L","ENC1101","MAC1140","","","","","3","3","1","3","3","","","","","C","F","B","F","W","","","","",20152016,201505,201508,201508,9,"U-MBY-BS-00","Marine Biology","HMCSE","Biology","Biology","STEM","YES","Female","White",18,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",2.91,4,"Booker T Washington HS","Yes",1763,"Yes",770,"No",0,"No",0,"No",0,"Yes",26.5,0.703125,"No",0,0,"ACT",3,"Yes",2.3,"Yes",0.9,""
"16",970339492,"ARH1010","ECO2013","ENC1101","MAC1105","","","","","","3","3","3","3","","","","","","A","A","A","A","","","","","",20152016,201505,201508,201508,51,"U-BLY-BS-01","Pre-Professional","HMCSE","Biology","Biology","STEM","YES","Female","White",19,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.6,2,"Home School - Florida","No",0,"No",0,"Yes",6432,"No",0,"Yes",6432,"Yes",25,0.65625,"Yes",1140,0.616666,"ACT",0,"Yes",3.579487,"Yes",3.366666,""
"17",970353396,"ART1015C","COP2334","ENC1101","MAT1033","PSY2012","","","","","3","3","3","4","3","","","","","A","B+","A","A","A","","","","",20162017,201605,201608,201608,3,"U-CPS-BS-00","Computer Science","HMCSE","Computer Science","Computer Science","STEM","YES","Male","White",26,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Veteran (Service on or after 9-11-2001)","Military Status","No","No",3.41,4,"Navarre High School","No",0,"No",0,"No",0,"No",0,"No",0,"No",0,0,"Yes",950,0.458333,"SAT",0,"Yes",3.781081,"Yes",3.86875,""
"18",970353966,"DEP2004","MCB1000","MCB1000L","PSY2012","SYG2000","","","","","3","3","1","3","3","","","","","B","B","B","B-","A-","","","","",20152016,201505,201508,201508,35,"U-NUR-BSN-01","BSN","UKCOH","Nursing","Nursing","Health","YES","Female","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","Yes","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.35,4,"Pace High School","Yes",2863,"No",0,"Yes",2722,"Yes",1732,"Yes",990,"Yes",24,0.625,"No",0,0,"ACT",0,"No",2.372,"No",3.092307,""
"19",970354053,"EDF2085","EDF3234","EVR2001","PSY2012","REL1300","","","","","3","3","3","3","3","","","","","A","A","B-","B","A-","","","","",20152016,201505,201508,201508,46,"U-ELE-BA-02","Educational Studies","CEPS","Teacher Ed & Ed Leadership","Teacher Education and Educational Leadership","Education","YES","Female","White",19,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.13,3,"Pace High School","No",0,"Yes",1155,"No",0,"No",0,"No",0,"Yes",25.75,0.679687,"No",0,0,"ACT",0,"Yes",3.316666,"Yes",3.48,""
"20",970354108,"AFR1101","AFR1101L","AFR2130","COP2334","EUH1001","PHY2048C","","","","1","0","1","3","3","5","","","","B+","XX","A","C+","B-","C+","","","",20152016,201505,201508,201508,72,"U-MAT-BS-00","Mathematics","HMCSE","Mathematics and Statistics","Mathematics and Statistics","STEM","YES","Male","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Eligible Dependent","Military Status","No","No",4.02,4,"Pace High School","No",0,"Yes",1339,"No",0,"No",0,"No",0,"Yes",25.5,0.671875,"No",0,0,"ACT",0,"Yes",2.7,"Yes",2.6,""
"21",970354479,"INP3004","INP3313","PSY3213","SOP3730","","","","","","3","3","3","3","","","","","","D+","C","C+","B-","","","","","",20162017,201605,201608,201608,67,"U-PSY-BA-00","Psychology","UKCOH","Psychology","Psychology","Not Available","NO","Male","Asian",21,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.9,3,"West Florida HS Advanced Tech","Yes",4766,"No",0,"Yes",10208,"Yes",5442,"Yes",4766,"Yes",24.25,0.632812,"No",0,0,"ACT",0,"Yes",2.385714,"Yes",2.075,""
"22",970358337,"ARH1000","ARH2050","EVR2001","IDH1040","","","","","","3","3","3","3","","","","","","B+","A","A","A","","","","","",20152016,201505,201508,201508,30,"U-UNDECIDED","Undecided Undergraduate","UNA","Unassigned","Unassigned","Not Available","NO","Female","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","Yes","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.66,2,"Pace High School","No",0,"Yes",1236,"Yes",2874,"Yes",1038,"Yes",1836,"Yes",27.25,0.726562,"No",0,0,"ACT",6,"Yes",3.844444,"Yes",3.825,""
"23",970358498,"BSC1085","BSC1085L","DEP2004","MAT1033","SYG2000","","","","","3","1","3","4","3","","","","","C","D+","B-","C-","C","","","","",20152016,201505,201508,201508,0,"U-NUR-BSN-01","BSN","UKCOH","Nursing","Nursing","Health","YES","Female","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.48,4,"Pace High School","No",0,"No",0,"Yes",2721,"No",0,"Yes",2721,"Yes",21.75,0.554687,"No",0,0,"ACT",0,"Yes",1.721428,"No",2.014285,""
"24",970358529,"ARH1000","CCJ2002","CGS2570","MAC2311","","","","","","3","3","3","4","","","","","","B-","A-","A","A","","","","","",20152016,201505,201508,201508,30,"U-EGT-BS-01","Building Construction","CEPS","Building Construction","Building Construction","STEM","YES","Male","White",19,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.42,2,"Pace High School","No",0,"Yes",1001,"No",0,"No",0,"No",0,"Yes",25.75,0.679687,"No",0,0,"ACT",0,"Yes",3.274193,"Yes",3.630769,""
"25",970358532,"ANT2000","CHM2045","CHM2045L","ENC1101","MAC1140","","","","","3","3","1","3","3","","","","","F","C","W","C-","F","","","","",20152016,201505,201508,201508,16,"U-HLE-BS-04","Sport Management","CEPS","Sport Management","Sport Management","Not Available","NO","Male","White",19,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.32,4,"Pace High School","No",0,"No",0,"Yes",2721,"No",0,"Yes",2721,"Yes",23.75,0.617187,"No",0,0,"ACT",0,"No",1.85,"No",0.925,""
"26",970360099,"BSC1005","BSC1005L","MAT1033","MUH2930","PLA2013","","","","","2","1","4","3","3","","","","","B","C+","B-","A-","B","","","","",20152016,201505,201508,201508,6,"U-HLE-BS-04","Sport Management","CEPS","Sport Management","Sport Management","Not Available","NO","Male","White",20,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.41,4,"Pensacola Christian Academy","Yes",1126,"No",0,"Yes",5444,"Yes",3464,"Yes",1980,"Yes",21.75,0.554687,"No",0,0,"ACT",0,"Yes",2.857692,"Yes",3.015384,""
"27",970361196,"ARH2050","ARH2051","ARH3990","ART1300C","PSY2012","","","","","3","3","3","3","3","","","","","A","A-","A","A","A","","","","",20152016,201505,201508,201508,55,"U-ART-BA-02","Art History","CASSH","Art and Design","Art and Design","Not Available","NO","Male","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.71,3,"Pensacola High School","Yes",513,"Yes",1545,"Yes",1732,"Yes",1732,"No",0,"Yes",27,0.71875,"No",0,0,"ACT",22,"Yes",3.8275,"Yes",3.94,""
"28",970362349,"AMH2010","CHM2045","CHM2045L","ENC1101","MAC1105","","","","","3","3","1","3","3","","","","","A","C","A","B","B","","","","",20152016,201505,201508,201508,51,"U-SOW-BSW-00","Social Work","CEPS","Social Work","Social Work","Not Available","NO","Female","Hispanic",19,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","Yes","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.21,3,"Navarre High School","Yes",863,"No",0,"Yes",3216,"Yes",2226,"Yes",990,"Yes",22,0.5625,"Yes",1110,0.591666,"SAT",0,"Yes",3.261728,"Yes",3.6,""
"29",970362352,"AMH2010","CHM2045","CHM2045L","ENC1101","MAC2311","","","","","3","3","1","3","4","","","","","A","A","A","A","A","","","","",20152016,201505,201505,201505,63,"U-CHM-BS-01","Chemistry/Biochemistry","HMCSE","Chemistry","Chemistry","STEM","YES","Female","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.74,1,"Navarre High School","No",0,"Yes",2884,"No",0,"No",0,"No",0,"Yes",33.75,0.929687,"Yes",1430,0.858333,"ACT",0,"Yes",3.979069,"Yes",3.935714,""
"30",970362677,"BSC2010","BSC2010L","CHM2045","CHM2045L","PSY2012","STA2023","","","","3","1","3","1","3","3","","","","C","B","B-","C","B+","C+","","","",20152016,201505,201508,201508,28,"U-CLN-BS-00","Clinical Laboratory Sciences","UKCOH","Medical Laboratory Sciences","Medical Laboratory Sciences","Health","YES","Female","Hispanic",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Eligible Dependent","Military Status","No","No",3.65,3,"Pace High School","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",23,0.59375,"No",0,0,"ACT",0,"Yes",2.588,"Yes",2.564285,""
"31",970363305,"ARH1000","BSC1085","BSC1085L","DEP2004","LIT2000","","","","","3","3","1","3","3","","","","","F","F","F","F","F","","","","",20152016,201505,201508,201508,6,"U-NUR-BSN-01","BSN","UKCOH","Nursing","Nursing","Health","YES","Female","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4,2,"Pace High School","No",0,"Yes",1001,"No",0,"No",0,"No",0,"Yes",26,0.6875,"No",0,0,"ACT",0,"No",NA,"No",0,""
"32",970364535,"MVK1311","","","","","","","","","3","","","","","","","","","A","","","","","","","","",20152016,201505,201508,201508,45,"U-MUP-BM-00","Music Performance","CASSH","Music","Music","Not Available","NO","Female","White",17,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",0,1,"Home School - Florida","Yes",2326,"No",0,"No",0,"No",0,"No",0,"No",0,0,"Yes",1280,0.733333,"SAT",0,"Yes",4,"Yes",4,""
"33",970364825,"ECO2013","ESC2000","ESC2000L","MAC1140","SPC2608","","","","","3","3","1","3","3","","","","","B","B-","A-","A","A","","","","",20162017,201605,201608,201608,34,"U-ELE-BA-02","Educational Studies","CEPS","Teacher Ed & Ed Leadership","Teacher Education and Educational Leadership","Education","YES","Female","White",19,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","Yes",3.84,2,"Booker T Washington HS","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",24.25,0.632812,"No",0,0,"ACT",0,"Yes",3.601724,"Yes",3.74,""
"34",970364957,"MAC1105","","","","","","","","","3","","","","","","","","","A","","","","","","","","",20152016,201505,201508,201508,28,"U-CHM-BS-00","Chemistry","HMCSE","Chemistry","Chemistry","STEM","YES","Male","White",18,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.68,3,"Allendale Academy","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",24,0.625,"Yes",1020,0.516666,"ACT",0,"Yes",3.912698,"Yes",3.976923,""
"35",970365132,"ART1015C","CHM2045","CHM2045L","ENC1102","MAC2312","","","","","3","3","1","3","4","","","","","A","B","A","A-","C-","","","","",20162017,201605,201608,201608,7,"U-MEC-BSME00","Mechanical Engineering","HMCSE","Mechanical Engineering","Mechanical Engineering","STEM","YES","Male","African American",18,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","Yes","No",4.47,2,"Escambia High School","No",0,"Yes",1078,"No",0,"No",0,"No",0,"Yes",26,0.6875,"No",0,0,"ACT",7,"Yes",3.121428,"Yes",3.064285,""
"36",970365733,"ART1015C","EVR2001","LIT2000","MAC1105","","","","","","3","3","3","3","","","","","","B","B+","B-","B","","","","","",20152016,201505,201508,201508,21,"U-POL-BA-01","Pre-Law","CASSH","Government","Government","Not Available","NO","Male","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.88,3,"Jay High School","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",23.25,0.601562,"No",0,0,"ACT",0,"No",2.9625,"No",3,""
"37",970365751,"ANT2000","BSC2010","BSC2010L","FIN2104","STA2023","","","","","3","3","1","3","3","","","","","A","C","B","B+","A","","","","",20152016,201505,201508,201508,31,"U-IHU-BA-02","Women’s and Gender Studies","CASSH","Philosophy","Philosophy","Not Available","NO","Female","White",18,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Survivors' and Dependents' Educational Assistance","Receiving Benefits","Eligible Dependent","Military Status","Yes","No",3.39,3,"J M Tate High School","No",0,"Yes",1339,"No",0,"No",0,"No",0,"Yes",33.25,0.914062,"Yes",1170,0.641666,"ACT",18,"Yes",3.473684,"Yes",3.3,""
"38",970365768,"BSC2010","BSC2010L","BSC2844","CHM2045","CHM2045L","IDH1040","STA2023","","","3","1","1","3","1","3","3","","","A","A","A","A","A","A","A","","",20152016,201505,201508,201508,53,"U-BLY-BS-01","Pre-Professional","HMCSE","Biology","Biology","STEM","YES","Female","White",19,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","Yes","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.61,1,"Navarre High School","No",0,"Yes",3090,"No",0,"No",0,"No",0,"Yes",33.5,0.921875,"Yes",1460,0.883333,"ACT",22,"Yes",4,"Yes",4,""
"39",970366120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20152016,201505,201508,201508,60,"U-UNDECIDED","Undecided Undergraduate","UNA","Unassigned","Unassigned","Not Available","NO","Male","White",18,"Santa Rosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.26,2,"Gulf Breeze High School","No",0,"Yes",1848,"No",0,"No",0,"No",0,"Yes",25.75,0.679687,"No",0,0,"ACT",0,"Yes",3.411111,"Yes",3.5,""
"40",970366136,"BSC2010","BSC2010L","ENC1102","MAT1033","SLS1990","","","","","3","1","3","4","1","","","","","D","D","B","B+","B-","","","","",20152016,201505,201508,201508,0,"U-ISC-BS-02","Zoo Science","HMCSE","Biology","Biology","STEM","YES","Female","Hispanic",18,"Okaloosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.2,4,"Crestview Senior High School","No",0,"No",0,"No",0,"No",0,"No",0,"Yes",22.5,0.578125,"No",0,0,"ACT",0,"Yes",2.54,"Yes",2.408333,""
